Time,Human Count,Social Distance violate,Restricted Entry,Abnormal Activity
6,0,0,0,0
12,0,0,0,0
18,5,0,0,0
24,5,0,0,0
30,5,0,0,0
36,5,0,0,0
42,5,0,0,0
48,5,0,0,0
54,5,0,0,0
60,5,0,0,0
66,5,0,0,0
72,5,0,0,0
78,5,0,0,0
84,5,0,0,0
90,4,0,0,0
96,4,0,0,0
102,3,0,0,0
108,3,0,0,0
114,3,0,0,1
120,3,0,0,0
126,3,0,0,0
132,3,0,0,0
138,2,0,0,0
144,2,0,0,0
150,2,0,0,0
156,3,0,0,0
162,2,0,0,0
168,3,0,0,1
174,0,0,0,0
180,3,0,0,1
186,3,0,0,0
192,3,0,0,0
198,3,0,0,0
204,3,0,0,0
210,3,0,0,0
216,3,0,0,0
222,2,0,0,0
228,2,0,0,0
234,2,0,0,0
240,2,0,0,0
246,2,0,0,0
252,2,0,0,0
258,2,0,0,0
264,1,0,0,0
270,1,0,0,0
276,2,0,0,0
282,2,0,0,0
288,0,0,0,0
294,2,0,0,0
300,2,0,0,0
306,2,0,0,0
312,2,0,0,0
318,2,0,0,0
324,2,0,0,0
330,2,0,0,0
336,2,0,0,0
342,2,0,0,0
348,2,0,0,0
354,2,0,0,0
360,2,0,0,0
366,3,0,0,0
372,2,0,0,0
378,2,0,0,0
384,2,0,0,0
390,2,0,0,0
396,2,0,0,0
402,2,0,0,0
408,2,0,0,0
414,3,0,0,0
420,3,0,0,0
426,3,0,0,0
432,3,0,0,0
438,3,0,0,0
444,3,0,0,0
450,3,0,0,0
456,3,0,0,0
462,3,0,0,0
468,4,0,0,0
474,4,0,0,0
480,4,0,0,1
486,4,0,0,1
492,4,0,0,1
498,4,0,0,0
504,4,0,0,0
510,4,0,0,0
516,5,0,0,0
522,5,0,0,0
528,4,0,0,0
534,5,0,0,0
540,5,0,0,0
546,4,0,0,0
552,5,0,0,0
558,5,0,0,0
564,6,0,0,0
570,6,0,0,0
576,6,0,0,0
582,6,0,0,0
588,6,0,0,0
594,6,0,0,0
600,5,0,0,0
606,5,0,0,0
612,6,0,0,0
618,5,0,0,0
624,6,0,0,0
630,5,0,0,1
636,6,0,0,1
642,5,0,0,0
648,4,0,0,1
654,4,0,0,1
660,3,0,0,1
666,4,0,0,0
672,5,0,0,0
678,5,0,0,0
684,5,0,0,0
690,5,0,0,0
696,6,0,0,0
702,6,0,0,0
708,7,0,0,0
714,7,0,0,0
720,7,0,0,0
726,7,0,0,0
732,6,0,0,0
738,6,0,0,1
744,5,0,0,1
750,4,0,0,1
756,4,0,0,1
762,4,0,0,1
768,5,0,0,0
774,6,0,0,1
780,7,0,0,1
786,8,0,0,0
792,8,0,0,0
798,9,0,0,0
804,8,0,0,0
810,7,0,0,0
816,6,0,0,1
822,6,0,0,0
828,6,0,0,0
834,6,0,0,0
840,6,0,0,0
846,4,0,0,0
852,4,0,0,0
858,4,0,0,0
864,4,0,0,0
870,4,0,0,0
876,4,0,0,0
882,5,0,0,0
888,5,0,0,0
894,5,0,0,0
900,5,0,0,0
906,5,0,0,0
912,6,0,0,0
918,6,0,0,0
924,5,0,0,0
930,4,0,0,0
936,5,0,0,0
942,5,0,0,0
948,5,0,0,0
954,6,0,0,0
960,6,0,0,0
966,6,0,0,0
972,5,0,0,0
978,6,0,0,0
984,7,0,0,0
990,6,0,0,0
996,7,0,0,0
1002,7,0,0,0
1008,7,0,0,0
1014,7,0,0,0
1020,7,0,0,0
1026,6,0,0,0
1032,6,0,0,0
1038,6,0,0,0
1044,6,0,0,0
1050,6,0,0,0
1056,6,0,0,0
1062,7,0,0,0
1068,6,0,0,0
1074,6,0,0,0
1080,6,0,0,0
1086,6,0,0,0
1092,6,0,0,0
1098,5,0,0,0
1104,4,0,0,0
1110,5,0,0,0
1116,5,0,0,0
1122,5,0,0,0
1128,5,0,0,0
1134,5,0,0,0
1140,5,0,0,0
1146,6,0,0,0
1152,6,0,0,0
1158,6,0,0,0
1164,6,0,0,0
1170,6,0,0,0
1176,5,0,0,0
1182,4,0,0,0
1188,5,0,0,0
1194,6,0,0,0
1200,6,0,0,0
1206,6,0,0,0
1212,6,0,0,0
1218,6,0,0,0
1224,6,0,0,0
1230,6,0,0,0
1236,6,0,0,0
1242,6,0,0,0
1248,6,0,0,0
1254,6,0,0,0
1260,5,0,0,0
1266,6,0,0,0
1272,5,0,0,0
1278,5,0,0,0
1284,4,0,0,0
1290,4,0,0,0
1296,4,0,0,0
1302,5,0,0,0
1308,6,0,0,0
1314,6,0,0,0
1320,6,0,0,0
1326,6,0,0,0
1332,6,0,0,0
1338,6,0,0,0
1344,6,0,0,0
1350,7,0,0,0
1356,7,0,0,0
1362,7,0,0,0
1368,7,0,0,0
1374,7,0,0,0
1380,7,0,0,0
1386,6,0,0,0
1392,6,0,0,0
1398,6,0,0,0
1404,6,0,0,0
1410,6,0,0,1
1416,0,0,0,0
1422,6,0,0,0
1428,6,0,0,0
1434,4,0,0,0
1440,4,0,0,0
1446,5,0,0,0
1452,5,0,0,0
1458,5,0,0,0
1464,5,0,0,0
1470,5,0,0,0
1476,7,0,0,0
1482,7,0,0,0
1488,7,0,0,0
1494,8,0,0,0
1500,8,0,0,0
1506,8,0,0,0
1512,7,0,0,0
1518,7,0,0,0
1524,7,0,0,0
1530,7,0,0,0
1536,6,0,0,0
1542,6,0,0,0
1548,6,0,0,0
1554,6,0,0,0
1560,6,0,0,0
1566,4,0,0,0
1572,6,0,0,0
1578,6,0,0,0
1584,6,0,0,0
1590,7,0,0,0
1596,7,0,0,0
1602,7,0,0,0
1608,6,0,0,0
1614,6,0,0,0
1620,6,0,0,0
1626,6,0,0,0
1632,5,0,0,0
1638,5,0,0,0
1644,6,0,0,0
1650,6,0,0,0
1656,6,0,0,0
1662,6,0,0,0
1668,6,0,0,0
1674,5,0,0,0
1680,5,0,0,0
1686,5,0,0,0
1692,5,0,0,0
1698,5,0,0,0
1704,5,0,0,0
1710,4,0,0,0
1716,4,0,0,0
1722,4,0,0,0
1728,4,0,0,0
1734,4,0,0,0
1740,4,0,0,0
1746,5,0,0,0
1752,5,0,0,0
1758,5,0,0,0
1764,5,0,0,0
1770,5,0,0,0
1776,5,0,0,0
1782,5,0,0,0
1788,5,0,0,0
1794,5,0,0,0
1800,5,0,0,0
1806,5,0,0,0
1812,5,0,0,0
1818,5,0,0,0
1824,3,0,0,0
1830,4,0,0,0
1836,4,0,0,0
1842,5,0,0,0
1848,5,0,0,0
1854,5,0,0,0
1860,5,0,0,0
1866,5,0,0,0
1872,4,0,0,0
1878,4,0,0,0
1884,4,0,0,0
1890,4,0,0,0
1896,4,0,0,0
1902,4,0,0,0
1908,4,0,0,0
1914,4,0,0,0
1920,4,0,0,0
1926,4,0,0,0
1932,3,0,0,0
1938,4,0,0,0
1944,4,0,0,0
1950,4,0,0,0
1956,4,0,0,0
1962,4,0,0,0
1968,4,0,0,0
1974,4,0,0,0
1980,4,0,0,0
1986,5,0,0,0
1992,5,0,0,0
1998,4,0,0,0
2004,4,0,0,0
2010,4,0,0,0
2016,4,0,0,0
2022,4,0,0,0
2028,5,0,0,0
2034,5,0,0,0
2040,5,0,0,0
2046,5,0,0,0
2052,4,0,0,0
2058,4,0,0,0
2064,3,0,0,0
2070,3,0,0,0
2076,3,0,0,0
2082,3,0,0,0
2088,3,0,0,0
2094,3,0,0,0
2100,3,0,0,0
2106,3,0,0,0
2112,4,0,0,0
2118,4,0,0,0
2124,3,0,0,0
2130,3,0,0,0
2136,3,0,0,0
2142,3,0,0,0
2148,3,0,0,0
2154,4,0,0,0
2160,4,0,0,0
2166,4,0,0,0
2172,5,0,0,0
2178,5,0,0,0
2184,5,0,0,0
2190,5,0,0,0
2196,5,0,0,0
2202,4,0,0,0
2208,4,0,0,0
2214,4,0,0,0
2220,4,0,0,0
2226,3,0,0,0
2232,2,0,0,0
2238,2,0,0,0
2244,3,0,0,0
2250,3,0,0,0
2256,3,0,0,0
2262,3,0,0,0
2268,4,0,0,0
2274,5,0,0,0
2280,5,0,0,0
2286,5,0,0,0
2292,5,0,0,0
2298,5,0,0,0
2304,5,0,0,0
2310,5,0,0,0
2316,5,0,0,0
2322,5,0,0,0
2328,5,0,0,0
2334,5,0,0,0
2340,5,0,0,0
2346,5,0,0,0
2352,6,0,0,0
2358,6,0,0,0
2364,6,0,0,0
2370,6,0,0,0
2376,6,0,0,0
2382,6,0,0,0
2388,4,0,0,0
2394,4,0,0,0
2400,4,0,0,0
2406,5,0,0,0
2412,5,0,0,0
2418,5,0,0,0
2424,5,0,0,0
2430,6,0,0,0
2436,6,0,0,0
2442,6,0,0,0
2448,6,0,0,0
2454,6,0,0,0
2460,6,0,0,0
2466,6,0,0,0
2472,6,0,0,0
2478,7,0,0,0
2484,7,0,0,0
2490,7,0,0,0
2496,6,0,0,0
2502,7,0,0,0
2508,8,0,0,0
2514,8,0,0,0
2520,7,0,0,0
2526,7,0,0,0
2532,7,0,0,0
2538,6,0,0,0
2544,7,0,0,0
2550,6,0,0,0
2556,8,0,0,0
2562,8,0,0,0
2568,8,0,0,0
2574,8,0,0,0
2580,8,0,0,0
2586,8,0,0,0
2592,8,0,0,0
2598,8,0,0,0
2604,8,0,0,0
2610,8,0,0,0
2616,8,0,0,0
2622,0,0,0,0
2628,0,0,0,0
2634,8,0,0,0
2640,8,0,0,0
2646,8,0,0,1
2652,6,0,0,1
2658,6,0,0,0
2664,4,0,0,0
2670,4,0,0,0
2676,4,0,0,0
2682,4,0,0,0
2688,3,0,0,0
2694,4,0,0,0
2700,4,0,0,0
2706,5,0,0,0
2712,3,0,0,0
2718,4,0,0,0
2724,4,0,0,1
2730,4,0,0,0
2736,4,0,0,1
2742,4,0,0,1
2748,4,0,0,1
2754,5,0,0,0
2760,4,0,0,0
2766,4,0,0,1
2772,4,0,0,0
2778,4,0,0,0
2784,4,0,0,0
2790,3,0,0,0
2796,3,0,0,0
2802,3,0,0,0
2808,3,0,0,0
2814,2,0,0,0
2820,2,0,0,0
2826,2,0,0,0
2832,2,0,0,0
2838,2,0,0,0
2844,0,0,0,0
2850,0,0,0,0
2856,2,0,0,0
2862,3,0,0,0
2868,4,0,0,1
2874,4,0,0,0
2880,3,0,0,0
2886,0,0,0,0
2892,0,0,0,0
2898,0,0,0,0
2904,0,0,0,0
2910,3,0,0,0
2916,0,0,0,0
2922,0,0,0,0
2928,0,0,0,0
2934,0,0,0,0
2940,0,0,0,0
2946,3,0,0,0
2952,3,0,0,0
2958,2,0,0,0
2964,2,0,0,0
2970,3,0,0,0
2976,3,0,0,0
2982,3,0,0,0
2988,3,0,0,1
2994,3,0,0,0
3000,3,0,0,1
3006,2,0,0,0
3012,3,0,0,0
3018,3,0,0,0
3024,3,0,0,0
3030,0,0,0,0
3036,3,0,0,0
3042,3,0,0,0
3048,3,0,0,0
3054,3,0,0,0
3060,0,0,0,0
3066,4,0,0,0
3072,3,0,0,0
3078,4,0,0,0
3084,4,0,0,0
3090,4,0,0,0
3096,5,0,0,0
3102,7,0,0,0
3108,7,0,0,0
3114,6,0,0,0
3120,6,0,0,0
3126,6,0,0,0
3132,6,0,0,0
3138,5,0,0,0
3144,6,0,0,0
3150,6,0,0,0
3156,7,0,0,0
3162,7,0,0,0
3168,7,0,0,0
3174,5,0,0,0
3180,6,0,0,0
3186,7,0,0,0
3192,7,0,0,0
3198,7,0,0,0
3204,7,0,0,0
3210,6,0,0,0
3216,6,0,0,0
3222,5,0,0,0
3228,6,0,0,0
3234,6,0,0,0
3240,6,0,0,0
3246,6,0,0,0
3252,6,0,0,0
3258,6,0,0,0
3264,6,0,0,0
3270,7,0,0,0
3276,7,0,0,0
3282,8,0,0,0
3288,8,0,0,0
3294,8,0,0,0
3300,8,0,0,0
3306,8,0,0,0
3312,8,0,0,0
3318,8,0,0,0
3324,7,0,0,0
3330,7,0,0,0
3336,6,0,0,0
3342,6,0,0,0
3348,5,0,0,0
3354,6,0,0,0
3360,5,0,0,0
3366,5,0,0,0
3372,6,0,0,0
3378,6,0,0,0
3384,5,0,0,0
3390,5,0,0,0
3396,4,0,0,0
3402,4,0,0,0
3408,4,0,0,0
3414,3,0,0,0
3420,3,0,0,0
3426,3,0,0,0
3432,3,0,0,0
3438,3,0,0,0
3444,3,0,0,0
3450,4,0,0,0
3456,4,0,0,0
3462,4,0,0,0
3468,4,0,0,0
3474,3,0,0,0
3480,2,0,0,0
3486,3,0,0,0
3492,2,0,0,0
3498,4,0,0,0
3504,5,0,0,0
3510,5,0,0,0
3516,5,0,0,0
3522,6,0,0,0
3528,7,0,0,0
3534,7,0,0,0
3540,0,0,0,0
3546,4,0,0,0
3552,0,0,0,0
3558,0,0,0,0
3564,4,0,0,0
3570,5,0,0,0
3576,6,0,0,0
3582,7,0,0,0
3588,6,0,0,0
3594,6,0,0,0
3600,6,0,0,0
3606,6,0,0,0
3612,7,0,0,0
3618,7,0,0,1
3624,7,0,0,0
3630,7,0,0,1
3636,0,0,0,0
3642,0,0,0,0
3648,0,0,0,0
3654,0,0,0,0
3660,0,0,0,0
3666,7,0,0,1
3672,7,0,0,1
3678,6,0,0,1
3684,5,0,0,0
3690,2,0,0,0
3696,1,0,0,0
3702,2,0,0,0
3708,3,0,0,0
3714,2,0,0,0
3720,2,0,0,0
3726,2,0,0,0
3732,2,0,0,0
3738,2,0,0,0
3744,6,0,0,1
3750,6,0,0,0
3756,6,0,0,0
3762,6,0,0,0
3768,6,0,0,0
3774,6,0,0,0
3780,7,0,0,0
3786,7,0,0,0
3792,7,0,0,0
3798,8,0,0,0
3804,8,0,0,0
3810,9,0,0,0
3816,9,0,0,0
3822,10,0,0,0
3828,11,0,0,0
3834,9,0,0,0
3840,9,0,0,0
3846,8,0,0,0
3852,8,0,0,0
3858,8,0,0,0
3864,7,0,0,0
3870,6,0,0,0
3876,7,0,0,0
3882,9,0,0,0
3888,10,0,0,0
3894,10,0,0,0
3900,10,0,0,0
3906,10,0,0,0
3912,10,0,0,0
3918,8,0,0,0
3924,8,0,0,0
3930,10,0,0,0
3936,10,0,0,0
3942,10,0,0,0
3948,13,0,0,0
3954,12,0,0,0
3960,13,0,0,0
3966,7,0,0,0
3972,7,0,0,0
3978,9,0,0,0
3984,9,0,0,0
3990,9,0,0,0
3996,9,0,0,0
4002,7,0,0,0
4008,6,0,0,0
4014,7,0,0,0
4020,6,0,0,0
4026,6,0,0,0
4032,8,0,0,0
4038,9,0,0,1
4044,9,0,0,0
4050,8,0,0,0
4056,8,0,0,0
4062,8,0,0,0
4068,8,0,0,0
4074,8,0,0,0
4080,6,0,0,0
4086,6,0,0,0
4092,6,0,0,0
4098,6,0,0,0
4104,7,0,0,0
4110,6,0,0,0
4116,0,0,0,0
4122,0,0,0,0
4128,6,0,0,0
4134,0,0,0,0
4140,0,0,0,0
4146,4,0,0,0
4152,4,0,0,0
4158,4,0,0,0
4164,3,0,0,0
4170,3,0,0,1
4176,3,0,0,1
4182,5,0,0,0
4188,8,0,0,0
4194,8,0,0,0
4200,7,0,0,0
4206,7,0,0,0
4212,6,0,0,0
4218,8,0,0,0
4224,7,0,0,0
4230,8,0,0,0
4236,9,0,0,0
4242,10,0,0,0
4248,10,0,0,0
4254,9,0,0,0
4260,9,0,0,0
4266,8,0,0,0
4272,8,0,0,0
4278,8,0,0,0
4284,7,0,0,0
4290,7,0,0,0
4296,7,0,0,0
4302,7,0,0,0
4308,6,0,0,0
4314,6,0,0,0
4320,7,0,0,0
4326,7,0,0,0
4332,7,0,0,0
4338,6,0,0,0
4344,7,0,0,0
4350,8,0,0,0
4356,8,0,0,0
4362,7,0,0,0
4368,7,0,0,0
4374,7,0,0,0
4380,7,0,0,0
4386,4,0,0,0
4392,6,0,0,0
4398,7,0,0,0
4404,7,0,0,0
4410,7,0,0,0
4416,7,0,0,0
4422,7,0,0,0
4428,7,0,0,0
4434,5,0,0,0
4440,5,0,0,0
4446,7,0,0,0
4452,8,0,0,0
4458,9,0,0,0
4464,9,0,0,0
4470,8,0,0,0
4476,0,0,0,0
4482,8,0,0,0
4488,6,0,0,1
4494,6,0,0,1
4500,6,0,0,1
4506,5,0,0,1
4512,4,0,0,1
4518,3,0,0,1
4524,5,0,0,1
4530,6,0,0,0
4536,5,0,0,0
4542,5,0,0,0
4548,5,0,0,0
4554,5,0,0,0
4560,5,0,0,0
4566,5,0,0,0
4572,5,0,0,1
4578,4,0,0,1
4584,4,0,0,1
4590,5,0,0,1
4596,6,0,0,0
4602,6,0,0,0
4608,4,0,0,0
4614,4,0,0,0
4620,4,0,0,0
4626,4,0,0,0
4632,6,0,0,0
4638,7,0,0,0
4644,6,0,0,0
4650,0,0,0,0
4656,6,0,0,0
4662,6,0,0,1
4668,8,0,0,0
4674,0,0,0,0
4680,7,0,0,0
4686,5,0,0,0
4692,4,0,0,0
4698,5,0,0,0
4704,6,0,0,0
4710,5,0,0,0
4716,5,0,0,0
4722,5,0,0,0
4728,4,0,0,0
4734,4,0,0,0
4740,3,0,0,0
4746,4,0,0,0
4752,4,0,0,0
4758,5,0,0,0
4764,6,0,0,0
4770,7,0,0,0
4776,8,0,0,0
4782,8,0,0,0
4788,8,0,0,0
4794,8,0,0,0
4800,7,0,0,0
4806,6,0,0,0
4812,4,0,0,0
4818,5,0,0,0
4824,5,0,0,0
4830,6,0,0,0
4836,6,0,0,0
4842,5,0,0,0
4848,5,0,0,0
4854,5,0,0,0
4860,5,0,0,0
4866,3,0,0,1
4872,3,0,0,1
4878,5,0,0,0
4884,6,0,0,0
4890,7,0,0,0
4896,8,0,0,0
4902,8,0,0,0
4908,7,0,0,0
4914,6,0,0,0
4920,6,0,0,0
4926,5,0,0,0
4932,6,0,0,0
4938,6,0,0,0
4944,6,0,0,0
4950,4,0,0,0
4956,4,0,0,0
4962,4,0,0,0
4968,3,0,0,0
4974,4,0,0,0
4980,5,0,0,0
4986,6,0,0,0
4992,7,0,0,0
4998,7,0,0,0
5004,6,0,0,0
5010,6,0,0,0
5016,4,0,0,0
5022,4,0,0,0
5028,7,0,0,0
5034,7,0,0,0
5040,7,0,0,0
5046,7,0,0,0
5052,7,0,0,0
5058,7,0,0,0
5064,6,0,0,0
5070,5,0,0,0
5076,5,0,0,0
5082,6,0,0,0
5088,6,0,0,0
5094,6,0,0,0
5100,7,0,0,0
5106,6,0,0,0
5112,8,0,0,0
5118,8,0,0,0
5124,8,0,0,0
